path,label,label_id,shape_area,shape_perimeter,shape_circularity,shape_aspect_ratio,shape_extent,shape_solidity,shape_equiv_diameter,shape_irregularity
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___Late_blight/2f76c068-ebba-499d-8819-2d12bde41695___RS_LB 3232.JPG,Potato___Late_blight,3,19026.5,1052.7666,0.21572705,0.86283183,0.4317336,0.6304236,155.64476,2.1530182
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Pepper__bell___healthy/ce09803f-c791-4ace-a81f-65ad4730822a___JR_HL 5901.JPG,Pepper__bell___healthy,1,32492.0,867.47015,0.5425968,0.8803419,0.67405194,0.8921227,203.39641,1.3575673
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_mosaic_virus/43f4bccf-0e70-479a-9880-5523f8ffbe9b___PSU_CG 2367.JPG,Tomato__Tomato_mosaic_virus,13,17445.5,617.0021,0.57586414,0.9257143,0.6153616,0.9260311,149.03792,1.3177712
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Spider_mites_Two_spotted_spider_mite/428945fc-56c2-4e5a-a69d-c5e5bb52e45f___Com.G_SpM_FL 1366.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,10,16420.5,710.3158,0.40897173,0.6788991,0.5089418,0.7674745,144.59332,1.5636997
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___Late_blight/1f84da28-3025-4cc0-8815-5b6b60205956___RS_LB 3326.JPG,Potato___Late_blight,3,17543.0,768.6173,0.37315854,1.1279069,0.52574325,0.78816605,149.45381,1.6370174
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Late_blight/4392c0b5-bd98-4419-a99a-68d0f41f00b9___GHLB2 Leaf 8680.JPG,Tomato_Late_blight,7,13677.0,574.6762,0.5204204,0.8057143,0.5542857,0.8378461,131.96248,1.3861903
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Leaf_Mold/cb31d287-ef55-42a7-9ebe-df5796ad7d41___Crnl_L.Mold 9060.JPG,Tomato_Leaf_Mold,8,21531.5,775.5706,0.44982278,0.84745765,0.45617583,0.8688012,165.57402,1.4910057
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Leaf_Mold/27e8bb41-97a2-44b7-95e2-fd3b2e99f317___Crnl_L.Mold 7064.JPG,Tomato_Leaf_Mold,8,19540.5,683.1442,0.5261635,0.6968326,0.57414645,0.9163189,157.73312,1.3786043
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_mosaic_virus/b637932e-ac61-448a-b0d6-cabd8b444d27___PSU_CG 2407.JPG,Tomato__Tomato_mosaic_virus,13,15298.0,869.0437,0.25454307,0.8366337,0.44812232,0.6881846,139.56367,1.9820718
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Pepper__bell___healthy/61e598a1-aaef-48ef-b2d3-773619d25b21___JR_HL 7910.JPG,Pepper__bell___healthy,1,37316.5,833.0021,0.6758006,0.8674699,0.6938216,0.9575699,217.97441,1.2164401
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Early_blight/06d0298e-18e5-4bf5-8d33-8feef6600f15___RS_Erly.B 7573.JPG,Tomato_Early_blight,6,29090.5,928.5412,0.42399302,0.9539749,0.533849,0.8178611,192.45564,1.5357504
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Late_blight/3943d2dd-ffb8-43db-a59d-db7af654aecf___GHLB_PS Leaf 51.1 Day 18.jpg,Tomato_Late_blight,7,18432.0,630.9016,0.58191437,1.0357143,0.63054186,0.89200765,153.19383,1.3109027
