FeatureSet,PCA,NumFeatures,Val_Acc,Val_MacroF1,Test_Acc,Test_MacroF1,PCA_dim
All,No,87,0.9748062015503876,0.9722255364801168,0.9741602067183462,0.9712351744367029,0
All,Yes,87,0.9735142118863049,0.970267238511889,0.9735142118863049,0.9704228115189508,60
Color+Shape,No,65,0.9677002583979328,0.9650793748539457,0.9641472868217055,0.9568236009569979,0
Color+Shape,Yes,65,0.9677002583979328,0.9650793748539457,0.9641472868217055,0.9568236009569979,60
Color+Texture,No,79,0.9657622739018088,0.963304608433049,0.9689922480620154,0.9664688044280307,0
Color+Texture,Yes,79,0.9651162790697675,0.962574247075575,0.9680232558139535,0.9652170637261498,60
Color,No,57,0.9602713178294574,0.9564497089133094,0.9570413436692506,0.9465855426843863,0
Color,Yes,57,0.9602713178294574,0.9564497089133094,0.9570413436692506,0.9465855426843863,57
Texture+Shape,No,30,0.8065245478036176,0.7730192173665897,0.8065245478036176,0.7793033507061791,0
Texture+Shape,Yes,30,0.8065245478036176,0.7730192173665897,0.8065245478036176,0.7793033507061791,30
Texture,No,22,0.6863695090439277,0.6294063019537108,0.688953488372093,0.6311660479517587,0
Texture,Yes,22,0.6863695090439277,0.6294063019537108,0.688953488372093,0.6311660479517587,22
Shape,No,8,0.3695090439276486,0.3552332409085071,0.40794573643410853,0.39425266552964094,0
Shape,Yes,8,0.3695090439276486,0.3552332409085071,0.40794573643410853,0.39425266552964094,8
