,Color,Texture,Shape
Pepper__bell___Bacterial_spot,0.784,0.143,0.073
Pepper__bell___healthy,0.62,0.15,0.23
Potato___Early_blight,0.664,0.145,0.191
Potato___Late_blight,0.776,0.117,0.107
Potato___healthy,0.854,0.034,0.112
Tomato_Bacterial_spot,0.701,0.199,0.1
Tomato_Early_blight,0.808,0.13,0.062
Tomato_Late_blight,0.681,0.136,0.183
Tomato_Leaf_Mold,0.698,0.114,0.188
Tomato_Septoria_leaf_spot,0.777,0.135,0.088
Tomato_Spider_mites_Two_spotted_spider_mite,0.702,0.13,0.169
Tomato__Target_Spot,0.783,0.132,0.085
Tomato__Tomato_YellowLeaf__Curl_Virus,0.659,0.197,0.144
Tomato__Tomato_mosaic_virus,0.77,0.115,0.115
Tomato_healthy,0.685,0.216,0.099
