label,n,deferred,errors,deferral_rate_%,error_rate_%
Potato___healthy,23,9,2,39.1,8.7
Tomato_Early_blight,150,35,8,23.3,5.3
Tomato__Tomato_mosaic_virus,56,10,1,17.9,1.8
Potato___Late_blight,150,25,5,16.7,3.3
Tomato_Late_blight,287,46,16,16.0,5.6
Tomato__Target_Spot,210,33,10,15.7,4.8
Tomato_Leaf_Mold,143,17,4,11.9,2.8
Tomato_Spider_mites_Two_spotted_spider_mite,252,28,7,11.1,2.8
Pepper__bell___healthy,221,21,3,9.5,1.4
Pepper__bell___Bacterial_spot,149,12,2,8.1,1.3
Tomato_Septoria_leaf_spot,266,20,6,7.5,2.3
Tomato_Bacterial_spot,319,21,4,6.6,1.3
Tomato__Tomato_YellowLeaf__Curl_Virus,482,31,8,6.4,1.7
Potato___Early_blight,150,9,3,6.0,2.0
Tomato_healthy,238,7,1,2.9,0.4
