split,ablation_order,uncalibrated_fusion_macro_f1,uncalibrated_raw_recovers,uncalibrated_effective_recovers,uncalibrated_raw_spearman,uncalibrated_effective_spearman,uncalibrated_alpha_color,uncalibrated_share_color,uncalibrated_alpha_texture,uncalibrated_share_texture,uncalibrated_alpha_shape,uncalibrated_share_shape,calibrated_fusion_macro_f1,calibrated_raw_recovers,calibrated_effective_recovers,calibrated_raw_spearman,calibrated_effective_spearman,calibrated_alpha_color,calibrated_share_color,calibrated_alpha_texture,calibrated_share_texture,calibrated_alpha_shape,calibrated_share_shape
0,color > texture > shape,96.24146502463414,True,True,1.0,1.0,0.5029629094114328,68.24938312000741,0.2575361413705806,21.890239480208912,0.23950094921798643,9.860377399783665,96.08005280971241,True,True,1.0,1.0,0.47866528082120585,63.7907179119761,0.34142542015357535,28.825923887355394,0.17990929902521866,7.383358200668515
1,color > texture > shape,95.96605628925644,False,True,-0.5,1.0,0.3805217775615367,59.84682098943571,0.20337828180080178,20.29369670023285,0.4160999406376614,19.85948231033144,95.9109512970321,False,False,-0.5,0.5,0.38159643518939035,59.7393275456118,0.1970617000376518,19.843934656328464,0.42134186477295776,20.416737798059753
2,color > texture > shape,95.35630729266576,True,True,1.0,1.0,0.5523136793380856,68.31909836547685,0.3551972840661083,28.171719531808588,0.092489036595806,3.509182102714556,95.44576614916932,True,True,1.0,1.0,0.545549861241714,68.05421810520325,0.33734306687541804,27.400946602960126,0.11710707188286797,4.544835291836624
3,color > texture > shape,95.96686798899654,False,True,0.5,1.0,0.4255349847644094,62.53225712750413,0.2488489706098637,22.9825955638473,0.32561604462572696,14.485147308648564,96.09635467338505,False,True,0.5,1.0,0.4428315399575558,64.623518020303,0.20944506793421663,19.5704441489982,0.3477233921082276,15.806037830698802
4,color > texture > shape,96.48305778661287,False,True,0.5,1.0,0.4492827136133704,64.55719348829942,0.2464385804594626,22.30776282244688,0.30427870592716716,13.135043689253695,96.45956787660637,False,True,0.5,1.0,0.39483114442715905,60.127279559414205,0.23371956766433455,22.759279029531125,0.3714492879085064,17.11344141105467
5,color > texture > shape,95.7911028860401,False,True,0.5,1.0,0.4492827136133704,64.32780517321456,0.2464385804594626,22.27720894478343,0.30427870592716716,13.394985882002034,95.3065792639166,True,True,1.0,1.0,0.43379983683741014,58.69373911602372,0.3892315286816508,33.71499690702558,0.17696863448093916,7.591263976950696
6,color > texture > shape,94.94773877594162,True,True,1.0,1.0,0.48436057980559544,62.82166899206789,0.38737256079441984,32.166616752940314,0.12826685939998464,5.0117142549917775,94.76679919850073,True,True,1.0,1.0,0.43379983683741014,58.283190597643994,0.3892315286816508,34.25182460860607,0.17696863448093916,7.464984793749931
7,color > texture > shape,96.99980204050279,False,True,0.5,1.0,0.4286420753335595,63.421055373169125,0.22477428701717583,20.790861394688214,0.34658363764926453,15.788083232142672,96.9548000790942,False,True,0.5,1.0,0.39483114442715905,59.83326194068543,0.23371956766433455,22.43483329240446,0.3714492879085064,17.731904766910095
8,color > texture > shape,96.2539456934677,False,True,0.5,1.0,0.5431266433218399,74.04062508404542,0.1607502167734574,13.705352536562476,0.2961231399047029,12.254022379392106,96.25662536478256,False,True,0.5,1.0,0.48096144159044274,68.17726020374447,0.1967071606753585,17.78575210439824,0.3223313977341989,14.036987691857277
9,color > texture > shape,96.27216769171612,True,True,1.0,1.0,0.43581614119064804,61.70447976131156,0.2911502336487232,26.230246809037638,0.27303362516062885,12.065273429650794,96.04361612006738,False,True,0.5,1.0,0.4286420753335595,62.76767215081447,0.22477428701717583,21.212711780691908,0.34658363764926453,16.01961606849362
